order_id,order_date,ship_date,customer_id,product_id,rep_id,channel,payment_method,quantity,unit_price,discount_pct,total_amount,cost_amount,profit
ORD-10000,2023-01-01,2023-01-07,CUST-5167,PRD-1019,REP-102,Distributor,Credit Card,2,1724.8,0.25,2587.2,2004.02,583.18
ORD-10001,2023-01-01,2023-01-14,CUST-5084,PRD-1068,REP-108,Distributor,Cash,20,147.73,0.1,2659.14,1933.0,726.14
ORD-10002,2023-01-01,2023-01-05,CUST-5009,PRD-1008,REP-102,Online,Invoice,3,448.68,0.2,1076.83,788.37,288.46
ORD-10003,2023-01-01,2023-01-02,CUST-5025,PRD-1012,REP-106,Online,PayPal,1,1914.85,0,1914.85,928.01,986.84
ORD-10004,2023-01-01,2023-01-10,CUST-5014,PRD-1037,REP-109,Distributor,Cash,2,1314.32,0,2628.64,1336.02,1292.62
ORD-10005,2023-01-01,2023-01-08,CUST-5174,PRD-1023,REP-103,Retail Store,Invoice,1,210.99,0.1,189.89,97.31,92.58
ORD-10006,2023-01-01,2023-01-06,CUST-5149,PRD-1018,REP-101,Online,Invoice,2,1660.52,0,3321.04,1984.02,1337.02
ORD-10007,2023-01-01,2023-01-11,CUST-5073,PRD-1069,REP-103,Wholesale,Invoice,1,1534.01,0.2,1227.21,615.69,611.52
ORD-10008,2023-01-01,2023-01-08,CUST-5176,PRD-1032,REP-107,Distributor,Credit Card,10,1687.28,0,16872.8,11142.8,5730.0
ORD-10009,2023-01-01,2023-01-06,CUST-5060,PRD-1048,REP-109,Online,Invoice,3,1992.28,0.25,4482.63,3356.88,1125.75
ORD-10010,2023-01-02,2023-01-16,CUST-5002,PRD-1072,REP-100,Wholesale,Bank Transfer,10,852.04,0.1,7668.36,3704.0,3964.36
ORD-10011,2023-01-02,2023-01-13,CUST-5155,PRD-1045,REP-101,Retail Store,Credit Card,3,228.2,0.1,616.14,411.42,204.72
ORD-10012,2023-01-02,2023-01-08,CUST-5160,PRD-1005,REP-107,Retail Store,Credit Card,5,445.09,0,2225.45,1228.75,996.7
ORD-10013,2023-01-02,2023-01-11,CUST-5075,PRD-1041,REP-107,Wholesale,Cash,1,1173.33,0,1173.33,832.04,341.29
ORD-10014,2023-01-02,2023-01-10,CUST-5128,PRD-1034,REP-103,Wholesale,PayPal,1,637.75,0.15,542.09,291.51,250.58
ORD-10015,2023-01-02,2023-01-16,CUST-5029,PRD-1059,REP-101,Distributor,Cash,1,1221.85,0.25,916.39,502.35,414.04
ORD-10016,2023-01-02,2023-01-10,CUST-5093,PRD-1011,REP-106,Wholesale,PayPal,1,687.1,0.05,652.75,283.22,369.53
ORD-10017,2023-01-02,2023-01-03,CUST-5149,PRD-1048,REP-106,Wholesale,Cash,1,1992.28,0,1992.28,1118.96,873.32
ORD-10018,2023-01-02,2023-01-09,CUST-5056,PRD-1008,REP-106,Online,Bank Transfer,10,448.68,0,4486.8,2627.9,1858.9
ORD-10019,2023-01-02,2023-01-06,CUST-5011,PRD-1004,REP-105,Retail Store,Invoice,50,849.62,0,42481.0,15374.5,27106.5
ORD-10020,2023-01-02,2023-01-09,CUST-5116,PRD-1047,REP-105,Online,Invoice,3,136.42,0.1,368.33,205.71,162.62
ORD-10021,2023-01-02,2023-01-10,CUST-5157,PRD-1052,REP-105,Distributor,Bank Transfer,1,540.98,0,540.98,328.04,212.94
ORD-10022,2023-01-02,2023-01-08,CUST-5092,PRD-1012,REP-106,Online,Invoice,2,1914.85,0.25,2872.27,1856.02,1016.25
ORD-10023,2023-01-03,2023-01-14,CUST-5048,PRD-1015,REP-107,Online,Credit Card,1,1616.19,0,1616.19,1037.42,578.77
ORD-10024,2023-01-03,2023-01-17,CUST-5085,PRD-1031,REP-104,Retail Store,Cash,5,1118.33,0,5591.65,3488.35,2103.3
ORD-10025,2023-01-03,2023-01-13,CUST-5055,PRD-1029,REP-106,Online,PayPal,5,335.17,0.15,1424.47,840.9,583.57
ORD-10026,2023-01-03,2023-01-17,CUST-5037,PRD-1016,REP-105,Online,Bank Transfer,5,1077.09,0,5385.45,3981.15,1404.3
ORD-10027,2023-01-03,2023-01-08,CUST-5003,PRD-1045,REP-101,Online,Bank Transfer,3,228.2,0,684.6,411.42,273.18
ORD-10028,2023-01-03,2023-01-16,CUST-5189,PRD-1053,REP-102,Wholesale,Cash,5,231.99,0.05,1101.95,607.7,494.25
